Essay	Attribution	Description	Label	License	Manifest	Title	URL	
wateringbury-overview							https://stor.artstor.org/stor/70056d92-7406-48ec-a8e5-060c6bcf584d	
wateringbury-overview	Edgepedia, via Wikimedia Commons		Wateringbury Station	CC BY-SA 3.0			https://upload.wikimedia.org/wikipedia/commons/1/1c/Wateringbury_railway_station%2C_EG02%2C_August_2013.JPG	
sandgate-overview			English's Guide to Folkestone, Sandgate, Hythe				https://stor.artstor.org/stor/04780929-4966-4142-b325-12a69d7ab094	
sandgate-overview	Edward Francis Burney, Public domain, via Wikimedia Commons		Fanny Burney				https://upload.wikimedia.org/wikipedia/commons/6/60/Frances_d%27Arblay_%28%27Fanny_Burney%27%29_by_Edward_Francisco_Burney.jpg	
sandgate-overview	Public domain, via Wikimedia Commons		Sarah Grand by Hayman Seleg Mendelssohn				https://upload.wikimedia.org/wikipedia/commons/a/aa/Sarah_Grand_profile.jpg	
sandgate-overview	Allister, via Wikimedia Commons		George Augustus Sala	CC BY 2.0			https://upload.wikimedia.org/wikipedia/commons/2/2a/GeorgeAugustusSala1828-1895.jpg	
sandgate-overview	Wellcome Library, London, Public domain, via Wikimedia Commons		John Ruskin, 1882				https://upload.wikimedia.org/wikipedia/commons/b/b5/John_Ruskin%2C_1882.jpg	
sandgate-overview	Kent Maps Online Postcard Collection		1st Royal Scots Regt. at the Shorncliffe Barracks				https://stor.artstor.org/stor/071a49ae-7ac8-4b59-94ba-d7fdce39f57c	
sandgate-overview	Photographed by Martin Crowther		Spade House				/images/spade%20MJC.jpg	
sandgate-overview	Photographed by Martin Crowther		Home of Bithia Croker				https://stor.artstor.org/stor/4cee51d5-7884-4217-9dda-d92840561842	
19c-catch-music	MS Harley 978, f. 11v, Unknown author, Public domain, via Wikimedia Commons		Sumerisicumenharleyms				https://upload.wikimedia.org/wikipedia/commons/4/4a/Sumerisicumenharleyms.jpg	
19c-catch-music	John Closterman, CC0, via Wikimedia Commons		Henry Purcell				https://upload.wikimedia.org/wikipedia/commons/a/a9/Henry_Purcell.png	
19c-catch-music	After: Robert Dighton. ©The Trustees of the British Museum		A Catch: Une chansonette	CC BY-NC-SA 4.0			https://upload.wikimedia.org/wikipedia/commons/6/62/A_Catch._Une_Chansonnette_%28BM_1935%2C0522.1.76%29.jpg	
19c-catch-music	Peltro William Tomkins, CC0, via Wikimedia Commons		Twelfth Night				https://upload.wikimedia.org/wikipedia/commons/5/50/Peltro_William_Tomkins_-_Sir_Andrew_Aguecheek%2C_Sir_Toby_Belch_and_the_Clown_-_%22Twelfth_Night%22%2C_Act_II%2C_Scene_III_-_B1976.1.205_-_Yale_Center_for_British_Art.jpg	
19c-catch-music	© The Trustees of the British Museum, BM 1922,0710.660		New and Popular Song and Dance Compositions, between 1859 and 1886	CC BY-NC-SA 4.0			https://upload.wikimedia.org/wikipedia/commons/e/eb/New_%26_Popular_Song_%26_Dance_Compositions._%28BM_1922%2C0710.660%29.jpg	
19c-catch-music	by William Gostling, 1825. no known copyright restrictions.		Canterbury Cathedral, from A Walk In and About the City of Canterbury				https://stor.artstor.org/stor/fe4a9962-d0fd-4116-9f01-a05b7425fbfa	
19c-cathedral-singing	Michael D Beckwith, CC0, via Wikimedia Commons		Canterbury Cathedral Choir				https://upload.wikimedia.org/wikipedia/commons/5/52/Canterbury_Cathedral_Choir_%2840805457492%29.jpg	
19c-cathedral-singing	By permission of Canterbury Museums and Galleries		Thomas Mann Baynes. The Canterbury Catch Club in full session in their room at the Prince of Wales - printed by Henry Ward, 1826				/images/Beaney copy - Scaled and adjusted.jpg	
19c-cathedral-singing	Yale Center for British Art, Public domain, via Wikimedia Commons		The Choir, Canterbury Cathedral				https://upload.wikimedia.org/wikipedia/commons/5/59/The_Choir%2C_Canterbury_Cathedral_-_Google_Art_Project.jpg	
19c-cathedral-singing	Harper, Charles George, 1863-1943, No restrictions, via Wikimedia Commons		The Dover Road: Annals of an Ancient Turnpike				https://upload.wikimedia.org/wikipedia/commons/7/79/The_Dover_road_-_annals_of_an_ancient_turnpike_%281922%29_%2820995540465%29.jpg	
19c-music-canterbury	National Library of Scotland  Glen.88(1) Attribution 4.0 International CC BY 4.0		Davie's Caledonian repository of the most favorite Scottish slow airs, marches, strathspeys, reels, jigs, hornpipes, &c.				https://deriv.nls.uk/dcn30/1050/0038/105000383.30.jpg	
19c-music-canterbury	Internet Archive Book Images, No restrictions, via Wikimedia Commons		Map of Canterbury, Archaeologia Cantiana, 1883				https://upload.wikimedia.org/wikipedia/commons/5/5b/Archaeologia_cantiana_%281883%29_%2814782593812%29.jpg	
19c-music-canterbury	By permission of Canterbury Museums and Galleries		Thomas Mann Baynes. The Canterbury Catch Club in full session in their room at the Prince of Wales - printed by Henry Ward, 1826				images/Beaney copy - Scaled and adjusted.jpg	
19c-music-canterbury	Charles Green, Public domain, via Wikimedia Commons		Travelling Musicians in the Battle of Life, Charles Dickens				https://upload.wikimedia.org/wikipedia/commons/3/38/Travelling_Musicians_page_25.png	
19c-music-canterbury	Scanned image by Paul Schlicke, and text by Philip V. Allingham		The Free and Easy by George Cruikshank, 8 February 1836				https://user-images.githubusercontent.com/64199349/128225474-c0f41403-0413-4549-8f2a-e765d8e2601a.png	
19c-music-canterbury	Thomas Rowlandson, Public domain, via Wikimedia Commons		The Canterbury-Dover Coach passing Vanbrugh Castle				https://upload.wikimedia.org/wikipedia/commons/5/5e/Thomas_Rowlandson_-_The_Canterbury-Dover_Coach_Passing_Vanbrugh_Castle_-_Google_Art_Project.jpg	
19c-william-longhurst-biography	Photographed by Michelle Crowther		Plaque to Longhurst in Canterbury Cathedral				https://stor.artstor.org/stor/ee2dd200-0f05-4e33-877d-45477188e322	
19c-william-longhurst-biography	E Gertrude Thomson, Public domain, via Wikimedia Commons		Emily's Fairies				https://upload.wikimedia.org/wikipedia/commons/7/71/Emily%27s_Fairies_WA_MVAS.jpeg	
19c-william-longhurst-biography	Chris Price		Map showing the locations of subscribers to the 2 volume edition of works by John Wall Calcott				https://stor.artstor.org/stor/1eb60c5c-a15e-4f20-82f3-8a124803bf10	
19c-victoria-walmer-castle	Lieven Smits, CC BY-SA 3.0, via Wikimedia Commons		Walmer Castle Aerial View				https://upload.wikimedia.org/wikipedia/commons/3/3a/Walmer_Castle_aerial_view.jpg	
19c-victoria-walmer-castle	Antoine Claudet, Public domain, via Wikimedia Commons		Duke of Wellington, 1844				https://upload.wikimedia.org/wikipedia/commons/f/f4/Portrait_of_the_Duke_of_Wellington%2C_1844.jpg	
19c-victoria-walmer-castle	Nessy-Pic, CC BY-SA 4.0, via Wikimedia Commons		Walmer Castle				https://upload.wikimedia.org/wikipedia/commons/6/65/Walmer_Castle%2C_Walmer.JPG	
19c-victoria-walmer-castle	Ebenezer Landells, Public domain, via Wikimedia Commons		H.M.S Thunderer firing a Royal Salute on her Majesties arrival at Walmer Castle				https://upload.wikimedia.org/wikipedia/commons/c/c2/Ebenezer_Landells_-_The_Thunderer%2C_Man-of-War_firing_a_Royal_Salute_on_her_Majesties_arrival_at_Walmer_Castle_-_1842.jpg	
19c-victoria-walmer-castle	John Rostron		Shingle ridge on Walmer Beach				https://upload.wikimedia.org/wikipedia/commons/b/bf/Shingle_ridge_on_Walmer_Beach_-_geograph.org.uk_-_1503635.jpg	
19c-victoria-walmer-castle	Rose and Trev Clough		View towards the sea from Walmer Castle				https://upload.wikimedia.org/wikipedia/commons/d/d6/View_towards_the_sea_from_Walmer_Castle_-_geograph.org.uk_-_1631916.jpg	
19c-victoria-walmer-castle	Unknown author, Public domain, via Wikimedia Commons, National Maritime Museum, Greenwich, London		A draught of the Goodwin Sands				https://upload.wikimedia.org/wikipedia/commons/f/f7/A_draught_of_the_Goodwin_Sands_Pl.XXII_P169_RMG_A8031-D.tiff	
19c-victoria-walmer-castle	Drawn by G.Shepherd		Snargate St Dover c.1830				/dickens/images/Snargate St Dover 1830.jpg	
19c-victoria-walmer-castle	Ester Wetherveld https://www.flickr.com/photos/westher/, CC BY 2.0 https://creativecommons.org/licenses/by/2.0, via Wikimedia Commons		Walmer Castle central corridor				https://upload.wikimedia.org/wikipedia/commons/2/2d/Walmer_Castle_-_central_corridor.jpg	
19c-sala-biography	Michael William Sharp, Public domain, via Wikimedia Commons		Landing at Dover from the Steam Packet				https://upload.wikimedia.org/wikipedia/commons/c/cb/Landing_at_Dover_from_the_Steam_Packet_RMG_BHC1791.tiff	
19c-sala-biography	John Jackson, Public domain, via Wikimedia Commons		Arthur Wellesley, 1st Duke of Wellington				https://upload.wikimedia.org/wikipedia/commons/6/64/Arthur_Wellesley%2C_1st_Duke_of_Wellington_by_John_Jackson_cropped.jpg	
19c-sala-biography	Drawn by G.Shepherd		Snargate Street, Dover c.1830.				https://stor.artstor.org/stor/1f7f1801-76e2-4b52-8fa1-996e0d735573	
19c-sala-biography	Thomas Woolnoth (1785–1857), National Galleries Scotland via Wikimedia Commons		Madame Sala, stage name of Henrietta Catharina Florentina (née Simon) Sala, British actress and singer fl 1827-1859 and mother of George Augustus Sala				https://upload.wikimedia.org/wikipedia/commons/6/63/Madame_Sala.png	
19c-sala-biography	Harvey Barrison via Wikimedia Commons		The Grand Shaft, Dover	CC BY-SA 2.0			https://upload.wikimedia.org/wikipedia/commons/2/2b/Dover_2010_08_14_0074.jpg	
19c-sala-biography	Unknown author, Public domain, via Wikimedia Commons		Herne Bay Pier, 1837				https://upload.wikimedia.org/wikipedia/commons/8/8e/1st_Herne_Bay_Pier_1837.jpg	
19c-sala-biography	J. & C. Watkins, Public domain, via Wikimedia Commons		Charles Dickens, c.1860				https://upload.wikimedia.org/wikipedia/commons/4/45/Charles_Dickens_circa_1860.jpg	
19c-sala-biography	Allister  via Wikimedia Commons		George Augustus Sala	CC BY 2.0			https://upload.wikimedia.org/wikipedia/commons/2/2a/GeorgeAugustusSala1828-1895.jpg	
19c-eliot-george-biography			Broadstairs				https://stor.artstor.org/stor/7cdfdb0a-69ae-4fd6-a2e4-1a9cd5dfe1d3	
19c-eliot-george-biography	Frederic William Burton, Public domain, via Wikimedia Commons		George Eliot, 1865				https://upload.wikimedia.org/wikipedia/commons/1/1b/George_Eliot_%281865%29_by_Frederick_William_Burton.jpg	
19c-eliot-george-biography	By kind permission of Broadstairs Dickens Museum		Broadstairs Rate Book, 1843				https://stor.artstor.org/stor/f918a212-aeef-4252-8a4a-6b076588f70d	
19c-eliot-george-biography	by kind permission of Broadstairs Dickens Museum		Map of Broadstairs, 1824 showing Chandos Place				https://stor.artstor.org/stor/077213e1-ee34-4966-a7eb-64fb7cf89d8d	
19c-eliot-george-biography			Broadstairs				https://stor.artstor.org/stor/c5128fb0-fda9-44dc-adda-4573ed973526	
19c-eliot-george-biography	Herbert Spencer, Public domain, via Wikimedia Commons		Herbert Spencer aged 38 in 1858				https://upload.wikimedia.org/wikipedia/commons/d/dc/Spencer_Herbert_Age_38.jpg	
19c-eliot-george-biography	AnRo0002, CC0, via Wikimedia Commons		Lady's Bedstraw				https://upload.wikimedia.org/wikipedia/commons/c/c8/20151013Galium_verum.jpg	
19c-eliot-george-biography	Internet Archive Book Images, No restrictions, via Wikimedia Commons		David Copperfield, 1850				https://upload.wikimedia.org/wikipedia/commons/d/d8/David_Copperfield_%281850%29_%2814593575778%29.jpg	
19c-eliot-george-biography	Bernard Ladenthin, via Wikimedia Commons		Ladybird	CC BY 4.0			https://upload.wikimedia.org/wikipedia/commons/2/28/2019-07-22_Coccinellidae_1.jpg	
19c-eliot-george-biography			Snargate Street, Dover, 1830				https://stor.artstor.org/stor/1f7f1801-76e2-4b52-8fa1-996e0d735573	
19c-zangwill-biography	Macaulay, James, 1817-1902, No restrictions, via Wikimedia Commons		True tales of travel and adventure, valour and virtue (1884)				https://upload.wikimedia.org/wikipedia/commons/1/1a/True_tales_of_travel_and_adventure%2C_valour_and_virtue_%281884%29_%2814597787058%29.jpg	
19c-zangwill-biography	Snapshots Of  The Past, CC BY-SA 2.0, via Wikimedia Commons		The Sands at Ramsgate, c.1890-1900				https://upload.wikimedia.org/wikipedia/commons/f/f6/Sands_Ramsgate_England.jpg	
19c-zangwill-biography	Photo by Astrid Stilma. By permission of Patrick Marrin.		Margate Parade c. 180				https://stor.artstor.org/stor/13b9cf96-8fcb-4df0-8491-9049ae7450fc	
19c-zangwill-biography			Broadstairs				https://stor.artstor.org/stor/09e1b362-e980-44dd-947b-801070eb499e	
19c-zangwill-biography	Photochrom Print Collection, Public domain, via Wikimedia Commons		Dover Seafront c. 1905				https://upload.wikimedia.org/wikipedia/commons/2/2c/Sea_front%2C_Dover%2C_England-LCCN2002696721.jpg	
19c-zangwill-biography	James Edward Purdy, Public domain, via Wikimedia Commons		Israel Zangwill, 1905				https://upload.wikimedia.org/wikipedia/commons/d/d8/Israel_Zangwill_1905.jpg	
19c-sambourne-biography	Public domain, via Wikimedia Commons		Edward Linley Sambourne				https://upload.wikimedia.org/wikipedia/commons/6/64/Edward_Linley_Sambourne%2C_self_portrait_1891.png	
19c-sambourne-biography	Graham Pritchard, CC BY-SA 2.0, via Wikimedia Commons		St Peter's Church, Broadstairs				https://upload.wikimedia.org/wikipedia/commons/4/41/St_Peters_Church%2C_Broadstairs.jpg	
19c-sambourne-biography	Photochrom Print Collection, Public domain, via Wikimedia Commons		New Road, Ramsgate				https://upload.wikimedia.org/wikipedia/commons/6/6c/New_Road%2C_Ramsgate%2C_England-LCCN2002708073.jpg	
19c-sambourne-biography	Portrait by Napoleon Sarony, Public domain, via Wikimedia Commons		Oscar Wilde				https://upload.wikimedia.org/wikipedia/commons/e/e6/Oscar_Wilde_portrait_by_Napoleon_Sarony_-_albumen.jpg	
19c-sambourne-biography	Linley Sambourne ; editor: Eugenio Hansen, OFS, CC BY-SA 4.0, via Wikimedia Commons		Oscar Wilde	CC BY-SA 4.0			https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Punch_-_Oscar_Wilde.svg/356px-Punch_-_Oscar_Wilde.svg.png	
19c-sambourne-biography	Heritage123 at English Wikipedia, Public domain, via Wikimedia Commons		Self portrait of Linley Sambourne modelling for a Punch cartoon Quite English, You Know! published Vol 108, Jan 19, 1895, pg 26.				https://upload.wikimedia.org/wikipedia/commons/0/01/Edward_Linley_Sambourne_modelling_10_Jan_1895.jpg	
19c-sambourne-biography	Photochrom Print Collection, Public domain, via Wikimedia Commons		Promenade and Bandstand, Folkestone, c.1890-1900				https://upload.wikimedia.org/wikipedia/commons/d/df/Lee%27s_Promenade_and_Bandstand%2C_Folkestone%2C_England-LCCN2002696748.tif	
19c-sambourne-biography			Granville Hotel, Ramsgate				https://stor.artstor.org/stor/c588a4b8-e77a-4b52-bf74-c1dc705350b8	
19c-gravesend	David Anstiss		Grand Entrance to Gravesend Cemetery	CC BY-SA 2.0			https://upload.wikimedia.org/wikipedia/commons/7/72/Grand_Entrance_to_Gravesend_Cemetery_-_geograph.org.uk_-_1096043.jpg	
19c-gravesend	Harwood, John & Frederick. Engravers, Fenchurch Street, London/ Museum of London		Rosherville Gardens in Kent				https://upload.wikimedia.org/wikipedia/commons/6/67/Rosherville_Gardens_in_Kent.jpg	
19c-gravesend	William Lionel Wyllie, Public domain, via Wikimedia Commons		The Town Pier at Gravesend				https://upload.wikimedia.org/wikipedia/commons/e/e3/The_Town_Pier_at_Gravesend_RMG_PV4951.jpg	
19c-collins-biography	Elliott & Fry, Public domain, via Wikimedia Commons		Wilkie Collins, 1871 - Elliott & Fry, Public domain, via Wikimedia Commons				https://upload.wikimedia.org/wikipedia/commons/b/b6/Wilkie_Collins%2C_1871.jpg	
19c-collins-biography	Hatofthecat, CC BY-SA 3.0 via Wikimedia Commons		North Foreland Lighthouse				https://upload.wikimedia.org/wikipedia/commons/8/84/North_Foreland_Lighthouse_about_1880.jpg	
19c-collins-biography	Unknown author, Public domain, via Wikimedia Commons		The Barbican, Sandwich				https://upload.wikimedia.org/wikipedia/commons/d/dc/1904-08-20_front_The_Barbican_Sandwich_Kent.jpg	
19c-conrad-biography	©Martin Crowther		Bishopsbourne Village Hall Memorial Plaque				images/Bishopsbourne%20Village%20Hall%20-%20memorial%20plaque%20to%20Conrad%203%20MJC.jpg	
19c-conrad-biography			The Erebus and Terror among Icebergs in Dr Hartwig's The Polar World, 1886				images/ErebusandTerror.jpg	
19c-conrad-biography	Unknown author, Public domain, via Wikimedia Commons		The Otago				https://upload.wikimedia.org/wikipedia/commons/e/e1/Otago_bark_1869.jpg	
19c-conrad-biography	©Martin Crowther		Oswalds				images/Rear of Oswalds - Bishopsbourne MJC.jpg	
19c-conrad-biography	© Kate Davies		Joseph Conrad's grave				https://stor.artstor.org/stor/fdcf1896-22cd-41c2-917a-cd07a8621a22	
19c-walker-biography	No known copyright restrictions		Canterbury street, from A Walk In and About the City of Canterbury by William Gostling				https://stor.artstor.org/stor/fb97b8a2-50de-4cae-b35b-7aedb06de42b	
19c-walker-biography	Public domain, via Wikimedia Commons		Rochester Cathedral and Castle, 1825, by Frederick Nash				https://upload.wikimedia.org/wikipedia/commons/1/18/Frederick_Nash_-_Rochester_Cathedral_and_Castle_-_Google_Art_Project.jpg	
19c-walker-biography	No known copyright restrictions		Dane John Gardens, from A Walk In and About the City of Canterbury by William Gostling				https://stor.artstor.org/stor/e70a6523-0d4d-42da-a07a-699c3f2aa1ea	
19c-walker-biography	No known copyright restrictions.		Canterbury Cathedral, from A Walk In and About the City of Canterbury by William Gostling, 1825				https://stor.artstor.org/stor/fe4a9962-d0fd-4116-9f01-a05b7425fbfa	
19c-walker-biography	by John Brent		Canterbury Castle in Canterbury in Olden Times				https://stor.artstor.org/stor/d3328173-c9b0-43ad-9fc2-dfeaa3505793	
19c-walker-biography	Drawn by George Shepherd		Snargate Street, Dover, 1830				https://stor.artstor.org/stor/1f7f1801-76e2-4b52-8fa1-996e0d735573	
19c-walker-biography	Photo by Astrid Stilma. By permission of Patrick Marrin		The Picturesque Beauties of Great Britain: Kent. Rochester Bridge, 1829				https://stor.artstor.org/stor/ab25bcd6-9bdf-4d71-8385-1ea957703c5a	
19c-grand-biography	 Detroit Publishing Co., under license from Photoglob Zürich, Public domain, via Wikimedia Commons		The Pantiles, (Royal) Tunbridge Wells, Kent, England, ca. 1895.jpg				https://upload.wikimedia.org/wikipedia/commons/8/8a/The_Pantiles%2C_%28Royal%29_Tunbridge_Wells%2C_Kent%2C_England%2C_ca._1895.jpg	
19c-grand-biography	Sarah Grand's passport © International Centre for Victorian Women Writers		Sarah Grand's passport				https://raw.githubusercontent.com/kent-map/kent/main/19c/images/SG%20passport.jpeg	
19c-grand-biography	Hayman Seleg Mendelssohn, Public domain, via Wikimedia Commons		Sarah Grand by Mendelssohn.jpg				https://upload.wikimedia.org/wikipedia/commons/5/52/Sarah_Grand_by_Mendelssohn.jpg	
19c-grand-biography	H.G. Groves, Tunbridge Wells		Taking the Waters - the original spring. The Pantiles, Tunbridge Wells				https://stor.artstor.org/stor/ce0b8389-e980-4597-8f6c-630eaba57b53	
19c-grand-biography	LSE Library, No restrictions, via Wikimedia Commons		NUWSS shop on 18 Crescent Road, Tunbridge Wells				https://upload.wikimedia.org/wikipedia/commons/f/fb/National_Union_Women%27s_Suffrage_shop_on_18_Crescent_Road%2C_Tunbridge_Wells.jpg	
19c-grand-biography	British official photographer, Public domain, via Wikimedia Commons		THE WOMENS VOLUNTEER RESERVE ON THE HOME FRONT, 1914-1918 Q107999.jpg				https://upload.wikimedia.org/wikipedia/commons/a/ae/THE_WOMENS_VOLUNTEER_RESERVE_ON_THE_HOME_FRONT%2C_1914-1918_Q107999.jpg	
19c-grand-biography	H.G. Groves, Tunbridge Wells		Queen's Grove, Tunbridge Wells				https://stor.artstor.org/stor/f37d719d-5638-49d9-973f-bcfc0995e197	
19c-gould-biography	Wellcome Images (https://wellcomeimages.org/indexplus/image/V0002341.html)	Lithograph by T. H. Maguire, 1849		CC BY 4.0		John Gould	https://upload.wikimedia.org/wikipedia/commons/1/1c/John_Gould._Lithograph_by_T._H._Maguire%2C_1849._Wellcome_L0013780.jpg	
19c-gould-biography	Jewish Women's Archive (https://jwa.org/media/rebecca-solomon-governess)	Painted by Rebecca Solomon, c. 1851		public domain		The Governess	https://cdn.jwa.org/sites/default/files/mediaobjects/rebecca_solomon_-_thegoverness.jpg	
19c-gould-biography	Biodiversity Heritage Library (https://www.biodiversitylibrary.org/page/42203524)	Illustrated by Elizabeth Gould for John Gould’s “A Century of Birds from the Himalaya Mountains”, 1831.		public domain		Cinclosoma erythrocephala in “A Century of Birds from the Himalaya Mountains”	https://upload.wikimedia.org/wikipedia/commons/e/e1/A_century_of_birds_from_the_Himalaya_Mountains_%28TAB._XVII%29_%289237224583%29.jpg	
19c-gould-biography	Biodiversity Heritage Library (https://www.biodiversitylibrary.org/page/42203694)	Illustrated by Elizabeth Gould for John Gould’s “A Century of Birds from the Himalaya Mountains”, 1831.		public domain		Himalayan Monal (Lophophorus impeyanus) in “A Century of Birds from the Himalaya Mountains”	https://upload.wikimedia.org/wikipedia/commons/5/57/A_century_of_birds_from_the_Himalaya_Mountains_%28TAB._LX%29_%289240055086%29.jpg	
19c-gould-biography	Biodiversity Heritage Library (https://www.biodiversitylibrary.org/page/42203662)	Illustrated by Elizabeth Gould for John Gould’s “A Century of Birds from the Himalaya Mountains”, 1831.		public domain		Picus brunifrons in “A Century of Birds from the Himalaya Mountains”	https://upload.wikimedia.org/wikipedia/commons/e/e1/A_century_of_birds_from_the_Himalaya_Mountains_%28TAB._LII%29_%289237264813%29.jpg	
19c-gould-biography	Biodiversity Heritage Library (https://www.biodiversitylibrary.org/page/42174335)	Illustrated by Elizabeth Gould for John Gould’s “The Birds of Europe - Vol I”, 1837.		public domain		Merlin (Falco Aesalon) in “The Birds of Europe - Vol I”	https://upload.wikimedia.org/wikipedia/commons/a/a4/GouldBirdsEuropeIMerlin.jpg	
19c-gould-biography	Biodiversity Heritage Library (https://www.biodiversitylibrary.org/page/14062582)	Illustrated by Elizabeth Gould for Charles Darwin’s “The Zoology of the Voyage of H.M.S. Beagle - Part III Birds”, 1832-1836		public domain		Darwin's Finches (Geospiza parvula) in “The Zoology of the Voyage of H.M.S. Beagle - Part III Birds”	https://live.staticflickr.com/8351/8429528713_8488cfc03b_b.jpg	
19c-gould-biography		Illustrated by Elizabeth Gould for John Gould’s “Birds of Australia”, 1972		public domain		Bouke's Grass-Parakeet (Euphema bourkii) in “Birds of Australia”	https://upload.wikimedia.org/wikipedia/commons/a/a5/Euphema_Bourkii_by_Elizabeth_Gould.jpg	
19c-gould-biography	rawpixel (https://www.rawpixel.com/image/321165/free-illustration-image-blue-wren-gould)	Illustrated by Elizabeth Gould for John Gould’s “Birds of Australia”, 1972		public domain		Blue Wren (Malurus cyaneus) in “Birds of Australia”	https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/pd15-158-num.jpg?w=800&dpr=1&fit=default&crop=default&q=65&vib=3&con=3&usm=15&bg=F4F4F3&ixlib=js-2.2.1&s=8539ca4f45990976634b541654947458	
19c-gould-biography	Wellcome Images (https://wellcomecollection.org/works/ed688gme/items)	Engraving by J. Wood, 1830.		public domain		A woman in bed after giving birth.	https://iiif.wellcomecollection.org/image/V0007494/full/1024%2C/0/default.jpg	
19c-gould-biography	Photographed by Martin Pot, 16 Feb. 2008			CC BY-SA 3.0		Gouldian Finch (Chloebia gouldiae)	https://upload.wikimedia.org/wikipedia/commons/3/3e/Male_adult_Gouldian_Finch.jpg	
19c-gould-biography	National Library of Australia (http://nla.gov.au/nla.obj-150672913)	Oil painting by unknown artist		public domain		Elizabeth Gould holding an Australian cockatiel (Nymphicus hollandicus)	https://blog.biodiversitylibrary.org/wp-content/uploads/sites/4/2019/02/nla.obj-150672913-1-716x1024.jpg	
19c-dyce-biography	National Portrait Gallery (https://www.npg.org.uk/collections/search/portrait/mw111900/William-Dyce?)	by John Watkins in albumen carte-de-visite, 1860-1864	Photograph of William Dyce	CC BY-NC-ND 3.0			https://i.imgur.com/iwAgEKD.png	
19c-dyce-biography	Tate (https://www.tate.org.uk/art/artworks/dyce-pegwell-bay-kent-a-recollection-of-october-5th-1858-n01407)	oil painting by William Dyce, 1858	Pegwell Bay, Kent - a Recollection of October 5th 1858	CC BY-NC-ND 3.0			https://www.tate.org.uk/art/images/work/N/N01/N01407_10.jpg	
19c-dyce-biography		prattware pot lid , c.1860; painting by Arthur Boyd Houghton, 1862	Shrimp Paste Pot Lid from 'Pegwell Bay & Four Shrimpers' collection				https://i.ebayimg.com/images/g/61wAAOSw0~9hNQto/s-l1600.jpg	
19c-dyce-biography	Maidstone Museum and Bentlif Art Gallery, Maidstone (https://artuk.org/discover/artworks/at-the-seaside-pegwell-bay-near-ramsgate-kent-76676/view_as/grid/search/keyword:kent-pegwell-bay--referrer:global-search/page/1)		At the Seaside, Pegwell Bay, near Ramsgate, Kent	CC BY 3.0			https://d3d00swyhr67nd.cloudfront.net/w944h944/collection/KT/MMB/KT_MMB_B_MAI_46514-001.jpg	
19c-stopes-biography	gailhampshire from Cradley, Malvern, U.K, CC BY 2.0, via Wikimedia Commons		Wild Mignonette, Reseda lutea				https://upload.wikimedia.org/wikipedia/commons/e/e1/Wild_Mignonette._Reseda_lutea_%2834976002624%29.jpg	
